FACILITY_ID,FACILITY_NAME,CERTIFICATION_NUMBER,AREA_OFFICE_ABBREV,FACILITY_ADDRESS_1,FACILITY_ADDRESS_2,FACILITY_CITY,FACILITY_ZIP,COUNTY,PHONE,FACILITY_WEBSITE,OPERATOR,OPERATOR_ADDRESS_1,OPERATOR_ADDRESS_2,OPERATOR_CITY,OPERATOR_STATE,OPERATOR_ZIP,MEDICARE_CERTIFIED,MEDICARE_NUMBER,MEDICAID_CERTIFIED,OWNERSHIP,MULTICAMPUS_FACILITY_ID,NOTES,OCCUPANCY_RATE,OCCUPANCY_REPORT_DATE,OCCUPANCY_EXCEPTION_COMMENT,AVERAGE_OCCUPIED_BEDS,INSP_STANDARD_HEALTH,INSP_LSC,INSP_TOTAL,INSP_HARM,INSP_PERCENT_HARM,COMP_RECEIVED,COMP_RECEIVED_PER_100,COMP_SELF_REPORTED,COMP_ONSITE,COMP_CITATIONS,COMP_CITATIONS_PER_100,COMP_DEF_ADMINISTRATION,COMP_DEF_QUALITY_OF_CARE,COMP_DEF_RESIDENT_RIGHTS,COMP_DEF_DIETARY_SERVICES,COMP_DEF_PHYSICAL_ENVIRONMENT,COMP_DEF_OTHER_SERVICES,COMP_DEF_TOTAL,TOTAL_BEDS,EMPLOYEE_FLU_VACCINATION_RATE,VACCINATION_RATE_REPORT_DATE
42,United Health Services Hospitals Inc. - Binghamton General Hospital,0303001H,3SYR,10-42 Mitchell Avenue                  ,,Binghamton               ,13903,Broome,6077622200,http://www.uhs.net/transitional-care-unit,United Health Services Hospitals Inc,Po Box 54o                             ,,Johnson City             ,NY,13790,1,335851,0,Voluntary--Not for Profit Corporation,,,,,Data not available.,0,4,1,5,0,0,2,0,0.5,1,0,0,0,0,0,0,0,0,0,20,,
48,Elizabeth Church Manor Nursing Home,0301307N,3SYR,863 Front Street                       ,,Binghamton               ,13905,Broome,6077223463,http://www.unitedmethodisthomes.org/facility/elizabeth-church-manor-nursing-home/,UMH ECM Corp.,863 Front Street                       ,,Binghamton               ,NY,13905,1,335090,1,Voluntary--Not for Profit Corporation,,,0.942,12/13/17 0:00,,116.95,25,6,31,0,0,90,77,0.87,16,0,0,0,0,0,0,0,0,0,120,0.53,13-Apr
49,Good Shepherd-Fairview Home Inc,0301305N,3SYR,80 Fairview Avenue                     ,,Binghamton               ,13904,Broome,6077242477,http://www.gsfhome.com/,Good Shepherd-Fairview Home Inc,80 Fairview Avenue                     ,,Binghamton               ,NY,13904,1,335527,1,Voluntary--Not for Profit Corporation,,,0.981,12/13/17 0:00,,50.59,20,9,29,0,0,36,71.2,0.94,9,0,0,0,0,0,0,0,0,0,54,0.55,13-Apr
50,"Bridgewater Center for Rehabilitation & Nursing, LLC",0301308N,3SYR,159-163 Front Street,,Binghamton               ,13905,Broome,6077227225,http://www.bwrehab.com/,"Bridgewater Center for Rehabilitation and Nursing, LLC",159-163 Front Street                   ,,Binghamton               ,NY,13905,1,335228,1,Proprietary--LLC,,,0.876,12/13/17 0:00,,323.5,53,14,67,0,0,217,67.1,0.68,46,17,5.3,1,13,2,1,0,0,17,356,0.16,13-Apr
56,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC",0302303N,3SYR,301 Nantucket Drive                    ,,Endicott                 ,13760,Broome,6077542705,http://www.absolutcare.com/locations/?id=60,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC",301 Nantucket Drive                    ,,Endicott                 ,NY,13760,1,335371,1,Proprietary--LLC,,,0.85,12/13/17 0:00,,135.14,57,17,74,0,0,143,105.8,0.52,50,14,10.4,0,7,7,0,0,0,14,160,0.79,13-Apr
59,Ideal Senior Living Center,0302302N,3SYR,601 High Avenue                        ,,Endicott                 ,13760,Broome,6077867308,http://www.uhs.net/?id=185&sid=1,Ideal Senior Living Center Inc,601 High Avenue                        ,,Endicott                 ,NY,13760,1,335520,1,Voluntary--Not for Profit Corporation,,,0.947,12/13/17 0:00,,139.35,36,8,44,3,0.07,53,38,0.83,19,9,6.5,0,6,3,0,0,0,9,150,0.9,13-Apr
60,"Susquehanna Nursing & Rehabilitation Center, LLC",0303307N,3SYR,282 Riverside Dr                       ,,Johnson City             ,13790,Broome,6077299206,http://www.susnursing.com/programs/susquehanna-nursing-rehabilitation-center/,"Susquehanna Nursing & Rehabilitation Center, LLC",282 Riverside Drive                    ,,Johnson City             ,NY,13790,1,335393,1,Proprietary--LLC,,,0.869,12/13/17 0:00,,145.06,33,6,39,0,0,74,51,0.5,30,6,4.1,0,5,1,0,0,0,6,160,0.53,13-Apr
64,Willow Point Rehabilitation and Nursing Center,0364301N,3SYR,3700 Old Vestal Road                   ,,Vestal                   ,13850,Broome,6077634400,http://www.gobroomecounty.com/wpnf/,County of Broome,Government Plaza - Po Box 1766         ,,Binghamton               ,NY,13902,1,335291,1,Public--County,,,0.98,12/13/17 0:00,,282.09,47,14,61,0,0,170,60.3,0.9,29,8,2.8,0,3,5,0,0,0,8,300,0.32,13-Apr
71,The Pines Healthcare & Rehabilitation Centers Olean Campus,0401303N,1BUFF,2245 West State Street                 ,,Olean                    ,14760,Cattaraugus,7163731910,,County of Cattaraugus,302 Laurens Street                     ,,Olean                    ,NY,14760,1,335357,1,Public--County,,,0.992,12/13/17 0:00,,118.75,39,6,45,4,0.09,30,25.3,0.7,9,3,2.5,1,1,0,1,0,0,3,120,0.64,13-Apr
73,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC",0420302N,1BUFF,2178 North Fifth Street                ,,Allegany                 ,14706,Cattaraugus,7163732238,http://www.absolutcare.com/locations/?id=54,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC",2178 North Fifth Street                ,,Allegany                 ,NY,14706,1,335610,1,Proprietary--LLC,,,1,12/13/17 0:00,,34.82,23,7,30,1,0.03,10,28.7,0.6,3,2,5.7,0,1,1,0,0,0,2,37,0.64,13-Apr
81,"Absolut Center for Nursing and Rehabilitation at Salamanca, LLC",0433303N,1BUFF,451 Broad Street                       ,,Salamanca                ,14779,Cattaraugus,7169451800,http://www.absolutcare.com/locations/?id=62,"Absolut Center for Nursing and Rehabilitation at Salamanca, LLC",451 Broad Street                       ,,Salamanca                ,NY,14779,1,335534,1,Proprietary--LLC,,,0.775,12/13/17 0:00,,102.25,15,14,29,0,0,52,50.9,0.58,16,4,3.9,0,3,1,0,0,0,4,120,0.39,13-Apr
83,The Pines Healthcare & Rehabilitation Centers  Machias Campus,0469300N,1BUFF,9822 Route 16                          ,,Machias                  ,14101,Cattaraugus,7163538516,,County of Cattaraugus,302 Laurens Street                     ,,Olean                    ,NY,14760,1,335578,1,Public--County,,,0.974,12/13/17 0:00,,113.42,17,9,26,0,0,42,37,0.88,17,0,0,0,0,0,0,0,0,0,115,0.72,13-Apr
91,Auburn Rehabilitation & Nursing Center,0501310N,3SYR,85 Thornton Avenue                     ,,Auburn                   ,13021,Cayuga,3152537351,http://www.auburnagt.com/,AURNC Operating LLC,20 Wood Ct,,Tarrytown,NY,10591,1,335004,1,Proprietary--LLC,,,0.902,12/13/17 0:00,,82.16,51,11,62,1,0.02,106,129,0.72,33,7,8.5,0,3,4,0,0,0,7,92,0.56,13-Apr
92,"The Commons on St. Anthony, a Skilled Nursing & Short Term Rehabilitation Community",0566302N,3SYR,3 St Anthony Street                    ,,Auburn                   ,13021,Cayuga,3152530351,http://www.mercyrehab.net/,Loretto Management Corporation,750 East Brighton Avenue,,Syracuse,NY,13205,1,335382,1,Voluntary--Not for Profit Corporation,,,0.897,12/13/17 0:00,,247.99,38,14,52,0,0,259,104.4,0.9,24,5,2,1,3,1,0,0,0,5,300,0.45,13-Apr
96,Northwoods Rehabilitation and Nursing Center at Moravia,0526304N,3SYR,7 Keeler Avenue                        ,,Moravia                  ,13118,Cayuga,3154970440,,Northwoods Operations Associates LLC,7 Keeler Avenue,,Moravia,NY,13118,1,335077,1,Proprietary--LLC,,,0.85,12/13/17 0:00,,34.78,50,15,65,2,0.03,50,143.8,0.46,11,12,34.5,1,7,4,0,0,0,12,40,,
99,Chautauqua Nursing and Rehabilitation Center,0601304N,1BUFF,10836 Temple Road                      ,,Dunkirk                  ,14048,Chautauqua,7163666400,http://www.co.chautauqua.ny.us/departments/CountyHome/,"Dunkirk Operating, LLC",10836 Temple Road,,Dunkirk,NY,14048,1,335485,1,Proprietary--Business Corporation,,,0.949,11/29/17 0:00,,207.74,35,24,59,1,0.02,113,54.4,0.82,26,17,8.2,0,11,4,0,0,2,17,216,0.33,13-Apr
106,Heritage Park Health Care Center,0602310N,1BUFF,150 Prather Avenue                     ,,Jamestown                ,14701,Chautauqua,7164881921,http://www.heritage1886.org/new/index.php?option=com_content&view=article&id=36&Itemid=47,"The Gerry Homes, Inc",Heritage Village Route 60              ,,Gerry                    ,NY,14760,1,335142,1,Voluntary--Not for Profit Corporation,,,0.959,12/13/17 0:00,,140.88,28,6,34,0,0,58,41.2,0.84,6,5,3.5,1,3,1,0,0,0,5,146,0.55,13-Apr
107,Lutheran Retirement Home,0602308N,1BUFF,715 Falconer Street                    ,,Jamestown                ,14701,Chautauqua,7166654905,http://www.lutheran-jamestown.org/,Lutheran Social Service of Upstate NY Inc,715 Falconer Street                    ,,Jamestown                ,NY,14701,1,335268,1,Voluntary--Not for Profit Corporation,,,0.98,12/13/17 0:00,,140.83,20,28,48,0,0,24,17,0.71,14,0,0,0,0,0,0,0,0,0,148,0.67,13-Apr
112,"Heritage Village Rehab and Skilled Nursing, Inc.",0662301N,1BUFF,4570 Route 60                          ,,Gerry                    ,14740,Chautauqua,7169854612,http://www.heritage1886.org/new/index.php?option=com_content&view=article&id=33&Itemid=207,"Heritage Village Rehab and Skilled Nursing, Inc.",4570 Route 60                          ,,Gerry                    ,NY,14740,1,335353,1,Voluntary--Not for Profit Corporation,,,0.917,12/13/17 0:00,,117.68,6,11,17,0,0,68,57.8,0.91,9,0,0,0,0,0,0,0,0,0,120,0.82,13-Apr
118,St. Joseph's Hospital,0701001H,2ROCH,555 St. Joseph's Boulevard               ,,Elmira                   ,14901,Chemung,6077336541,http://www.stjosephs.org/getpage.php?name=skilled_nursing,St. Joseph's Hospital ,555 St. Joseph's Blvd.              ,,Elmira                   ,NY,14902,1,335868,0,Voluntary--Not for Profit Corporation,,,,,Data not available.,0,15,6,21,0,0,6,0,1,2,1,0,0,1,0,0,0,0,1,26,,
119,St. Joseph's Hospital - Skilled Nursing Facility,0701001N,2ROCH,555 St. Joseph's Boulevard,,Elmira                   ,14902,Chemung,6077336541,http://www.arnothealth.org/long-term-care-st-josephs-hospital,St. Joseph's Hospital ,555 St. Joseph's Blvd.              ,,Elmira                   ,NY,14902,1,335072,1,Voluntary--Not for Profit Corporation,,,0.976,12/6/17 0:00,,82.48,50,15,65,0,0,37,44.9,0.62,17,11,13.3,0,5,6,0,0,0,11,85,0.88,13-Apr
123,Chemung County Health Center-Nursing Facility,0701301N,2ROCH,103 Washington Street                  ,,Elmira                   ,14901,Chemung,6077372001,http://www.chemungcounty.com/index.asp?pageId=530,County of Chemung,255 Lake Street                        ,,Elmira                   ,NY,14901,1,335480,1,Public--County,,,0.945,12/13/17 0:00,,192.7,31,10,41,0,0,76,39.4,0.71,26,2,1,0,1,1,0,0,0,2,200,0.62,13-Apr
124,Elcor Nursing and Rehabilitation Center,0722304N,2ROCH,48 Colonial Drive                      ,,Horseheads               ,14845,Chemung,6077390304,http://www.elcorhealthservices.com/,"Elcor Operating Company, LLC",300 Gleed Avenue,,East Aurora,NY,14052,1,335053,1,Proprietary--LLC,,,0.977,12/13/17 0:00,,295.47,22,20,42,0,0,142,48.1,0.8,51,0,0,0,0,0,0,0,0,0,305,0.26,13-Apr
126,ChaseHealth Rehab and Residential Care,0823300N,3SYR,"One Terrace Heights, P.O. Box 250      ",,New Berlin               ,13411,Chenango,6078477000,,Chase Memorial Nursing Home Company Inc,1 Terrace Heights                      ,,New Berlin               ,NY,13411,1,335344,1,Voluntary--Not for Profit Corporation,,,0.9,12/13/17 0:00,,73.48,32,11,43,0,0,109,148.3,0.93,10,3,4.1,0,3,0,0,0,0,3,80,0.48,13-Apr
129,Chenango Memorial Hospital Inc SNF,0824000N,3SYR,179 North Broad Street                 ,,Norwich                  ,13815,Chenango,6073374111,http://www.uhs.net/?id=188&sid=1,Chenango Memorial Hospital Inc,179 North Broad Street                 ,,Norwich                  ,NY,13815,1,335355,1,Voluntary--Not for Profit Corporation,,,0.825,12/13/17 0:00,,70.77,20,10,30,1,0.03,8,11.3,0.5,6,0,0,0,0,0,0,0,0,0,80,0.94,13-Apr
131,Valley View Manor Nursing Home,0824303N,3SYR,40 Park Street                         ,,Norwich                  ,13815,Chenango,6073349931,http://www.valleyviewmanor.net/,"Valley View Manor,LLC",40 Park Street                         ,,Norwich                  ,NY,13815,1,335208,1,Proprietary--LLC,,,0.915,11/22/17 0:00,,77.16,50,7,57,2,0.04,91,117.9,0.78,20,10,13,0,8,2,0,0,0,10,82,,
133,NYS Veterans Home,0825301N,3SYR,4211 State Highway 220                 ,,Oxford                   ,13830,Chenango,6078433100,http://www.nysvets.org/homes/oxford/,New York State Department of Health,Empire State Plaza                   ,Corning Tower  Room 1683,Albany                 ,NY,12237,1,335097,1,Public--State,,,0.694,12/13/17 0:00,,218.82,20,3,23,0,0,64,29.2,0.92,15,2,0.9,0,0,2,0,0,0,2,242,0.93,13-Apr
136,Champlain Valley Physicians Hospital Medical Center SNF,0901001N,4TROY,75 Beekman Street                      ,,Plattsburg               ,12901,Clinton,5185612000,http://www.cvph.org/services/skilled-nursing/,Champlain Valley Physicians Hospital Medical Center Inc,100 Beekman Street                     ,,Plattsburgh              ,NY,12901,1,335442,1,Voluntary--Not for Profit Corporation,,,1,12/13/17 0:00,,75.16,24,2,26,3,0.12,51,67.9,0.88,10,4,5.3,2,1,1,0,0,0,4,54,,
139,Plattsburgh Rehabilitation and Nursing Center,0901304N,4TROY,8 Bushey Boulevard                     ,,Plattsburgh              ,12901,Clinton,5185633261,http://www.evergreenvalleynh.com/,"PRNC Operating, LLC",8 Bushey Blvd.,,Plattsburgh,NY,12901,1,335528,1,Proprietary--LLC,,,0.921,12/6/17 0:00,,84.36,31,10,41,3,0.07,71,84.2,0.69,19,9,10.7,1,5,3,0,0,0,9,89,0.73,13-Apr
140,Meadowbrook Healthcare,0901303N,4TROY,154 Prospect Avenue                    ,,Plattsburgh              ,12901,Clinton,5185635440,http://www.meadowbrookhealth.com/,"CGSR, Inc",80 North Prospect Avenue               ,,Plattsburgh              ,NY,12901,1,335438,1,Proprietary--Business Corporation,,,0.78,12/13/17 0:00,,206.04,23,9,32,2,0.06,38,18.4,0.26,26,2,1,0,1,1,0,0,0,2,200,0.62,13-Apr
144,Clinton County Nursing Home,0952300N,4TROY,16 Flynn Avenue                        ,,Plattsburgh              ,12901,Clinton,5185630950,http://www.clintoncountygov.com/Departments/NursingHome/NursingHomeHomePage.html,County of Clinton,3 Flynn Avenue                         ,,Plattsburgh              ,NY,12901,1,335598,1,Public--County,,,1,12/13/17 0:00,,78.63,23,15,38,1,0.03,17,21.6,0.65,9,3,3.8,0,1,2,0,0,0,3,80,0.78,13-Apr
150,FASNY Firemen's Home,1001303N,4TROY,125 Harry-Howard Avenue                ,,Hudson                   ,12534,Columbia,5188287695,http://www.firemenshome.com/,Firemans Association of the State of New York,Harry-Howard Avenue                    ,,Hudson                   ,NY,12534,0,,0,Voluntary--Not for Profit Corporation,,,0.87,12/13/17 0:00,,77.89,7,0,7,0,0,4,5.1,0.75,1,0,0,0,0,0,0,0,0,0,92,0.64,13-Apr
152,Pine Haven Home,1021301N,4TROY,NY Route 217,,Philmont                 ,12565,Columbia,5186724021,http://www.columbiacountyny.com/depts/pinehaven/,"Pine Haven Operating, LLC",NY Rt. 217,,Philmont,NY,12565,1,335632,1,Proprietary--LLC,,,0.858,12/13/17 0:00,,104.33,27,11,38,0,0,44,42.2,0.61,16,8,7.7,0,5,2,1,0,0,8,120,0.49,13-Apr
154,Barnwell Nursing & Rehabilitation Center,1023301N,4TROY,3230 Church Street                     ,,Valatie                  ,12184,Columbia,5187586222,http://www.barnwellnrc.com/,"Jopal, LLC",3230 Church Street                     ,,Valatie                  ,NY,12184,1,335565,1,Proprietary--LLC,,,0.975,12/13/17 0:00,,220.79,33,11,44,0,0,242,109.6,0.62,78,28,12.7,5,13,7,2,0,1,28,236,0.49,13-Apr
156,Livingston Hills Nursing and Rehabilitation Center,1063302N,4TROY,2781 Route 9                ,P.O. Box 95,Livingston               ,12541,Columbia,5188513041,http://livingstonhills.com/,Livingston S and V Operations LLC,"Gutnicki LLP, 4711 Gold Road, Suite 200",,Skokie,IL,60076,1,335389,1,Proprietary--LLC,,,,,Recent data not available.,111.68,46,18,64,6,0.09,79,70.7,0.41,30,26,23.3,5,13,8,0,0,0,26,120,0.6,13-Apr
160,Cortland Park Rehabilitation and Nursing Center,1101310N,3SYR,193 Clinton Avenue                     ,,Cortland                 ,13045,Cortland,6077569921,http://www.cortlandparkrehab.com/,"CRNC, LLC",1Hillcrest Center Drive,Suite 225,Spring Valley,NY,10977,1,335218,1,Proprietary--LLC,,,0.9,12/13/17 0:00,,112.73,24,13,37,0,0,69,61.2,0.71,17,1,0.9,0,0,1,0,0,0,1,120,0.87,13-Apr
161,Crown Park Rehabilitation and Nursing Center,1101312N,3SYR,28 Kellogg Road                        ,,Cortland                 ,13045,Cortland,6077539631,http://crowncenterrehab.com/,"CCRNC, LLC",1 Hill Crest Ctr - Suite 325,,Spring Valley,NY,10977,1,335392,1,Proprietary--LLC,,,0.935,12/13/17 0:00,,185.37,59,9,68,7,0.1,184,99.3,0.68,50,9,4.9,2,5,2,0,0,0,9,200,,
169,Robinson Terrace,1225000N,4TROY,28652 State Highway 23                 ,,Stamford                 ,12167,Delaware,6076527521,http://www.robinsonterrace.com/longterm,"The Stamford Health Care Society, Inc",Harper Street                          ,,Stamford                 ,NY,12167,1,335236,1,Voluntary--Not for Profit Corporation,,,0.967,12/6/17 0:00,,113.87,24,13,37,3,0.08,108,94.8,0.91,16,1,0.9,0,0,1,0,0,0,1,120,0.57,13-Apr
171,Mountainside Residential Care Center,1226300N,4TROY,42158 State Highway #28                ,,Margaretville            ,12455,Delaware,8455861800,http://www.hahv.org/mountainside/,"Margaretville Nursing Home, Inc",Route 28                               ,,Margaretville            ,NY,12455,1,335339,1,Voluntary--Not for Profit Corporation,,,0.951,12/13/17 0:00,,79.1,1,5,6,0,0,6,7.6,0.83,1,0,0,0,0,0,0,0,0,0,82,0.74,13-Apr
186,The Pines at Poughkeepsie Center for Nursing & Rehabilitation,1302308N,6NROC,100 Franklin Street                    ,,Poughkeepsie             ,12601,Dutchess,8454544100,http://www.pinesatpoughkeepsie.com/,"Poughkeepsie Crossings, LLC",100 Franklin Street                    ,,Poughkeepsie             ,NY,12601,1,335440,1,Proprietary--LLC,,,0.95,12/13/17 0:00,,189.39,12,6,18,0,0,83,43.8,0.69,15,2,1.1,0,2,0,0,0,0,2,200,0.29,13-Apr
189,The Grand Rehabilitation and Nursing at Pawling,1322302N,6NROC,9 Reservoir Road                       ,,Pawling                  ,12564,Dutchess,8458555700,http://dutchesscenter.net/about-us/,"The Center for Rehabilitation and Healthcare at Dutchess, LLC",9 Reservoir Road                       ,,Pawling                  ,NY,12564,1,335458,1,Proprietary--LLC,,,0.967,11/29/17 0:00,,114.82,3,12,15,0,0,63,54.9,0.46,18,0,0,0,0,0,0,0,0,0,122,0.22,13-Apr
191,Sapphire Nursing at Wappingers,1324303N,6NROC,37 Mesier Avenue                       ,,Wappingers Falls         ,12590,Dutchess,8452973793,http://elant.org/?page_id=139,"Sapphire Nursing at Wappingers, LLC",37 Mesier Avenue,,Wappingers Falls,NY,12590,1,335275,1,Proprietary--LLC,,,0.919,12/13/17 0:00,,54.92,14,10,24,0,0,41,74.7,0.54,16,1,1.8,0,0,1,0,0,0,1,62,0.3,13-Apr
193,"Northern Dutchess Res Health Care Facility, Inc",1327302N,6NROC,"6525 Springbrook Avenue, P.O. Box 514  ",,Rhinebeck                ,12572,Dutchess,8458713760,,"Northern Dutchess Res Health Care Facility,Inc",12 Springbrook Avenue                  ,,Rhinebeck                ,NY,12572,1,335348,1,Voluntary--Not for Profit Corporation,,,0.93,12/13/17 0:00,,95.49,14,9,23,0,0,35,36.7,0.57,11,0,0,0,0,0,0,0,0,0,100,0.48,13-Apr
194,Ferncliff Nursing Home Co Inc,1327300N,6NROC,21 Ferncliff Dr                        ,,Rhinebeck                ,12572,Dutchess,8458762011,http://www.archcare.org/ferncliff-nursing-home.html,Catholic Health Care System,"205 Lexington Avenue, 3rd Floor",,New York,NY,10016,1,335405,1,Voluntary--Not for Profit Corporation,,,0.915,12/6/17 0:00,,301.57,8,14,22,0,0,220,73,0.68,31,0,0,0,0,0,0,0,0,0,328,0.42,13-Apr
195,The Baptist Home at Brookmeade,1327301N,6NROC,46 Brookmeade Drive                    ,,Rhinebeck                ,12572,Dutchess,8458762071,http://communityatbrookmeade.com/the-baptist-home/,Baptist Home of Brooklyn NY Inc,198 Route 308                          ,,Rhinebeck                ,NY,12572,1,335613,1,Voluntary--Not for Profit Corporation,,,0.933,12/13/17 0:00,,115.44,6,7,13,0,0,13,11.3,0.31,6,0,0,0,0,0,0,0,0,0,120,0.58,13-Apr
201,Fishkill Center for Rehabilitation and Nursing,1301302N,6NROC,22 Robert R. Kasin Way                 ,,Beacon                   ,12508,Dutchess,8458318704,http://elant.org/?page_id=136,"Yertle Operations, LLC",22 Robert R. Kasin Way,,Beacon,NY,12508,1,335750,1,Proprietary--LLC,,,0.938,12/13/17 0:00,,148.26,14,7,21,0,0,102,68.8,0.43,33,2,1.3,0,2,0,0,0,0,2,160,0.38,13-Apr
