FACILITY_ID,SURVEY_DATE,DEFICIENCY_CATEGORY,STIP_NUMBER,STIP_DATE,FINE_ASSESSED,STIP_PDF_NAME,facility_name_BN
326,,Multiple Deficiencies,NH-16-083,1/13/16 0:00,20000,pfi0326nh_16_083.pdf,Alice Hyde Medical Center
326,10/19/12 0:00,Multiple Deficiencies,NH-16-178,6/28/16 0:00,6000,pfi0326nh_16_178.pdf,Alice Hyde Medical Center
326,9/27/01 0:00,Quality of Care,NH-02-051,7/25/02 0:00,5000,pfi0326nh_02_051.pdf,Alice Hyde Medical Center
364,3/6/14 0:00,Administration,NH-16-036,1/5/16 0:00,2000,pfi0364nh_16_036.pdf,Alpine Rehabilitation and Nursing Center
1605,9/28/01 0:00,Quality of Care,NH-04-021,3/30/04 0:00,2000,pfi1605nh_04_021.pdf,Amsterdam Nursing Home Corp (1992)
1126,5/19/11 0:00,Multiple Deficiencies,NH-13-008,1/13/13 0:00,12000,pfi1126nh_13_008.pdf,Andrus On Hudson
1126,3/30/00 0:00,Multiple Deficiencies,NH-05-030,6/16/05 0:00,2000,pfi1126nh_05_030.pdf,Andrus On Hudson
919,,Quality of Care,NH-06-011,4/19/06 0:00,5000,pfi0919nh_06_011.pdf,Apex Rehabilitation & Care Center
91,5/14/01 0:00,Quality of Care,NH-02-035,6/4/02 0:00,2000,pfi0091nh_02_035.pdf,Auburn Rehabilitation & Nursing Center
91,4/5/02 0:00,Quality of Care,NH-02-102,11/6/02 0:00,2000,pfi0091nh_02_102.pdf,Auburn Rehabilitation & Nursing Center
91,4/8/04 0:00,Quality of Care,NH-04-099,11/26/04 0:00,2000,pfi0091nh_04_099.pdf,Auburn Rehabilitation & Nursing Center
91,2/24/05 0:00,Quality of Care,NH-05-043,8/17/05 0:00,1500,pfi0091nh_05_043.pdf,Auburn Rehabilitation & Nursing Center
740,,Multiple Deficiencies,NH-16-155,4/1/16 0:00,26000,pfi0740nh_16_155.pdf,Aurelia Osborn Fox Memorial Hospital
387,,Other Services,NH-17-037,5/4/17 0:00,2000,pfi0387nh_17_037.pdf,"Avon Nursing Home, LLC"
1227,,Quality of Care,NH-08-011,3/5/08 0:00,8000,pfi1227nh_08_011.pdf,Bainbridge Nursing & Rehabilitation Center
434,4/10/12 0:00,Quality of Care,NH-16-002,1/5/16 0:00,2000,pfi0434nh_16_002.pdf,Baird Nursing Home LLC
434,6/1/01 0:00,Quality of Care,NH-02-070,9/11/02 0:00,2000,pfi0434nh_02_070.pdf,Baird Nursing Home LLC
843,8/4/06 0:00,Quality of Care,NH-07-013,2/13/07 0:00,2000,pfi0843nh_07_013.pdf,"Baptist Health Nursing and Rehabilitation Center, Inc"
843,4/10/14 0:00,Quality of Care,NH-16-028,1/5/16 0:00,10000,pfi0843nh_16_028.pdf,"Baptist Health Nursing and Rehabilitation Center, Inc"
843,,Multiple Deficiencies,NH-04-095,11/26/04 0:00,300,pfi0843nh_04_095.pdf,"Baptist Health Nursing and Rehabilitation Center, Inc"
843,7/21/05 0:00,Resident Rights,NH-06-019,7/11/06 0:00,1000,pfi0843nh_06_019.pdf,"Baptist Health Nursing and Rehabilitation Center, Inc"
154,3/13/12 0:00,Quality of Care,NH-15-001,1/12/14 0:00,2000,pfi0154nh_15_001.pdf,Barnwell Nursing & Rehabilitation Center
154,,Multiple Deficiencies,NH-15-038,11/3/15 0:00,18000,pfi0154nh_15_038.pdf,Barnwell Nursing & Rehabilitation Center
154,4/24/01 0:00,Quality of Care,NH-02-018,3/4/02 0:00,3000,pfi0154nh_02_018.pdf,Barnwell Nursing & Rehabilitation Center
343,5/18/01 0:00,Quality of Care,NH-02-006,1/15/02 0:00,2000,pfi0343nh_02_006.pdf,"Batavia Health Care Center, LLC"
1260,2/16/11 0:00,Multiple Deficiencies,NH-12-030,5/30/12 0:00,18000,pfi1260nh_12_030.pdf,"Bay Park Center for Nursing and Rehabilitation, LLC"
1260,12/18/09 0:00,Quality of Care,NH-11-009,3/2/11 0:00,4000,pfi1260nh_11_009.pdf,"Bay Park Center for Nursing and Rehabilitation, LLC"
1260,4/11/02 0:00,Quality of Care,NH-05-042,8/17/05 0:00,1000,pfi1260nh_05_042.pdf,"Bay Park Center for Nursing and Rehabilitation, LLC"
3401,4/6/07 0:00,Multiple Deficiencies,NH-07-084,10/23/07 0:00,7000,pfi3401nh_07_084.pdf,Beach Gardens Rehab and Nursing Center
3401,12/17/09 0:00,Quality of Care,NH-10-052,10/27/10 0:00,10000,pfi3401nh_10_052.pdf,Beach Gardens Rehab and Nursing Center
3401,3/16/12 0:00,Multiple Deficiencies,NH-15-027,1/5/16 0:00,4000,pfi3401nh_15_027.pdf,Beach Gardens Rehab and Nursing Center
3401,2/10/04 0:00,Multiple Deficiencies,NH-05-016,5/5/05 0:00,6000,pfi3401nh_05_016.pdf,Beach Gardens Rehab and Nursing Center
1736,,Quality of Care,NH-08-010,2/20/08 0:00,8000,pfi1736nh_08_010.pdf,Beacon Rehabilitation and Nursing Center
1736,2/24/09 0:00,Multiple Deficiencies,NH-12-043,11/19/12 0:00,4000,pfi1736nh_12_043.pdf,Beacon Rehabilitation and Nursing Center
1736,2/21/17 0:00,Administration,NH-17-052,9/11/17 0:00,2000,pfi1736nh_17_052.pdf,Beacon Rehabilitation and Nursing Center
1409,4/29/10 0:00,Multiple Deficiencies,NH-11-059,9/26/11 0:00,6000,pfi1409nh_11_059.pdf,Bedford Center for Nursing and Rehabilitation
1409,,Quality of Care,NH-03-025,5/20/03 0:00,4000,pfi1409nh_03_025.pdf,Bedford Center for Nursing and Rehabilitation
983,9/12/08 0:00,Resident Rights,NH-10-009,1/26/10 0:00,6000,pfi0983nh_10_009.pdf,Beechtree Center for Rehabilitation and Nursing
983,8/21/12 0:00,Multiple Deficiencies,NH-16-173,6/14/16 0:00,10000,pfi0983nh_16_173.pdf,Beechtree Center for Rehabilitation and Nursing
288,,Multiple Deficiencies,NH-09-013,4/3/09 0:00,3000,pfi0288nh_09_013.pdf,Beechwood Homes
288,10/14/08 0:00,Quality of Care,NH-11-038,7/1/11 0:00,10000,pfi0288nh_11_038.pdf,Beechwood Homes
288,7/3/03 0:00,Quality of Care,NH-04-041,6/15/04 0:00,1000,pfi0288nh_04_041.pdf,Beechwood Homes
533,,Quality of Care,NH-07-029,4/3/07 0:00,2000,pfi0533nh_07_029.pdf,Belair Care Center Inc
3423,3/31/06 0:00,Quality of Care,NH-07-011,2/13/07 0:00,1000,pfi3423nh_07_011.pdf,Bellhaven Center for Rehabilitation and Nursing Care
3423,2/9/07 0:00,Quality of Care,NH-07-070,8/30/07 0:00,1000,pfi3423nh_07_070.pdf,Bellhaven Center for Rehabilitation and Nursing Care
3423,6/3/02 0:00,Quality of Care,NH-04-010,2/20/04 0:00,2000,pfi3423nh_04_010.pdf,Bellhaven Center for Rehabilitation and Nursing Care
3423,6/1/04 0:00,Resident Rights,NH-05-033,6/29/05 0:00,2000,pfi3423nh_05_033.pdf,Bellhaven Center for Rehabilitation and Nursing Care
877,3/8/02 0:00,Quality of Care,NH-03-033,6/27/03 0:00,1000,pfi0877nh_03_033.pdf,Berkshire Nursing & Rehabilitation  Center
1218,4/27/09 0:00,Multiple Deficiencies,NH-10-021,6/2/10 0:00,30000,pfi1218nh_10_021.pdf,Beth Abraham Center for Rehabilitation and Nursing
594,1/16/14 0:00,Quality of Care,NH-16-027,1/5/16 0:00,2000,pfi0594nh_16_027.pdf,Bethany Gardens Skilled Living Center
594,1/25/01 0:00,Quality of Care,NH-02-048,7/16/02 0:00,2000,pfi0594nh_02_048.pdf,Bethany Gardens Skilled Living Center
594,10/19/01 0:00,Quality of Care,NH-03-035,7/16/03 0:00,12000,pfi0594nh_03_035.pdf,Bethany Gardens Skilled Living Center
1255,,Quality of Care,NH-08-013,2/26/08 0:00,10000,pfi1255nh_08_013.pdf,Bethany Nursing Home & Health Related Facility Inc
1255,,Multiple Deficiencies,NH-02-002,1/3/02 0:00,12000,pfi1255nh_02_002.pdf,Bethany Nursing Home & Health Related Facility Inc
7278,,Quality of Care,NH-08-002,1/3/08 0:00,2000,pfi7278nh_08_002.pdf,Bethel Nursing & Rehabilitation Center
7278,,Multiple Deficiencies,NH-02-103,11/13/02 0:00,10000,pfi7278nh_02_103.pdf,Bethel Nursing & Rehabilitation Center
7278,5/19/03 0:00,Multiple Deficiencies,NH-05-051,9/29/05 0:00,10000,pfi7278nh_05_051.pdf,Bethel Nursing & Rehabilitation Center
1088,12/17/10 0:00,Multiple Deficiencies,NH-12-002,1/17/12 0:00,12000,pfi1088nh_12_002.pdf,Bethel Nursing Home Company Inc
1088,,Quality of Care,NH-04-011,3/26/04 0:00,4000,pfi1088nh_04_011.pdf,Bethel Nursing Home Company Inc
27,10/25/13 0:00,Multiple Deficiencies,NH-16-115,3/9/16 0:00,14000,pfi0027nh_16_115.pdf,Bethlehem Commons Care Center
27,2/20/02 0:00,Quality of Care,NH-02-090,10/28/02 0:00,3000,pfi0027nh_02_090.pdf,Bethlehem Commons Care Center
595,9/21/06 0:00,Quality of Care,NH-07-047,6/25/07 0:00,1000,pfi0595nh_07_047.pdf,"Betsy Ross Rehabilitation Center, Inc"
595,5/1/07 0:00,Multiple Deficiencies,NH-07-085,11/27/07 0:00,13000,pfi0595nh_07_085.pdf,"Betsy Ross Rehabilitation Center, Inc"
595,3/20/08 0:00,Quality of Care,NH-09-004,1/5/09 0:00,6000,pfi0595nh_09_004.pdf,"Betsy Ross Rehabilitation Center, Inc"
595,11/16/01 0:00,Quality of Care,NH-02-105,11/22/02 0:00,2000,pfi0595nh_02_105.pdf,"Betsy Ross Rehabilitation Center, Inc"
595,3/12/01 0:00,Resident Rights,NH-02-004,1/15/02 0:00,2000,pfi0595nh_02_004.pdf,"Betsy Ross Rehabilitation Center, Inc"
595,,Quality of Care,NH-04-090,10/28/04 0:00,4000,pfi0595nh_04_090.pdf,"Betsy Ross Rehabilitation Center, Inc"
595,4/6/05 0:00,Quality of Care,NH-06-027,9/19/06 0:00,1000,pfi0595nh_06_027.pdf,"Betsy Ross Rehabilitation Center, Inc"
1403,8/28/01 0:00,Quality of Care,NH-02-078,9/27/02 0:00,4000,pfi1403nh_02_078.pdf,Boro Park Center for Rehabilitation and Healthcare
1128,8/6/15 0:00,Multiple Deficiencies,NH-16-146,4/6/16 0:00,16000,pfi1128nh_16_146.pdf,Briarcliff Manor Center for Rehabilitation and Nursing Care
1128,9/11/06 0:00,Resident Rights,NH-08-017,2/22/08 0:00,8000,pfi1128nh_08_017.pdf,Briarcliff Manor Center for Rehabilitation and Nursing Care
1128,9/2/09 0:00,Multiple Deficiencies,NH-10-038,9/20/10 0:00,4000,pfi1128nh_10_038.pdf,Briarcliff Manor Center for Rehabilitation and Nursing Care
1673,,Quality of Care,NH-07-095,12/14/07 0:00,4000,pfi1673nh_07_095.pdf,Bridge View Nursing Home
1673,4/15/16 0:00,Multiple Deficiencies,NH-17-024,3/13/17 0:00,16000,pfi1673nh_17_024.pdf,Bridge View Nursing Home
50,7/6/11 0:00,Multiple Deficiencies,NH-13-016,5/29/13 0:00,4000,pfi0050nh_13_016.pdf,"Bridgewater Center for Rehabilitation & Nursing, LLC"
50,8/9/01 0:00,Quality of Care,NH-02-042,6/19/02 0:00,2000,pfi0050nh_02_042.pdf,"Bridgewater Center for Rehabilitation & Nursing, LLC"
50,7/9/04 0:00,Multiple Deficiencies,NH-05-002,1/3/05 0:00,10000,pfi0050nh_05_002.pdf,"Bridgewater Center for Rehabilitation & Nursing, LLC"
446,3/23/07 0:00,Quality of Care,NH-08-031,5/27/08 0:00,2000,pfi0446nh_08_031.pdf,Brighton Manor
446,9/4/08 0:00,Quality of Care,NH-09-048,11/9/09 0:00,2000,pfi0446nh_09_048.pdf,Brighton Manor
446,1/15/10 0:00,Quality of Care,NH-11-010,3/3/11 0:00,10000,pfi0446nh_11_010.pdf,Brighton Manor
446,2/17/17 0:00,Quality of Care,NH-17-027,7/25/17 0:00,2000,pfi0446nh_17_027.pdf,Brighton Manor
446,3/16/11 0:00,Quality of Care,NH-12-026,4/20/12 0:00,2000,pfi0446nh_12_026.pdf,Brighton Manor
881,12/19/11 0:00,Multiple Deficiencies,NH-14-010,11/5/14 0:00,6000,pfi0881nh_14_010.pdf,Broadlawn Manor Nursing & Rehab Center
881,4/18/14 0:00,Multiple Deficiencies,NH-16-008,1/5/16 0:00,8000,pfi0881nh_16_008.pdf,Broadlawn Manor Nursing & Rehab Center
881,10/12/15 0:00,Quality of Care,NH-16-185,7/12/16 0:00,10000,pfi0881nh_16_185.pdf,Broadlawn Manor Nursing & Rehab Center
881,1/30/04 0:00,Quality of Care,NH-05-055,10/27/05 0:00,1000,pfi0881nh_05_055.pdf,Broadlawn Manor Nursing & Rehab Center
1251,4/27/07 0:00,Quality of Care,NH-07-079,10/23/07 0:00,2000,pfi1251nh_07_079.pdf,Bronx Center for Rehabilitation & Health Care
1251,4/16/10 0:00,Multiple Deficiencies,NH-11-047,8/25/11 0:00,4000,pfi1251nh_11_047.pdf,Bronx Center for Rehabilitation & Health Care
4887,8/11/16 0:00,Quality of Care,NH-17-005,12/15/16 0:00,10000,pfi4887nh_17_005.pdf,Bronx Gardens Rehabilitation and Nursing Center
4887,2/27/02 0:00,Quality of Care,NH-04-004,2/5/04 0:00,2000,pfi4887nh_04_004.pdf,Bronx Gardens Rehabilitation and Nursing Center
4501,5/10/07 0:00,Quality of Care,NH-07-086,11/19/07 0:00,2000,pfi4501nh_07_086.pdf,Bronx Lebanon Special Care Center
3928,7/26/16 0:00,Multiple Deficiencies,NH-17-033,4/25/17 0:00,12000,pfi3928nh_17_033.pdf,"Brookhaven Health Care Facility, LLC"
1703,4/25/08 0:00,Quality of Care,NH-09-005,4/3/09 0:00,2000,pfi1703nh_09_005.pdf,Brookhaven Rehabilitation & Health Care Center LLC
7069,11/30/09 0:00,Quality of Care,NH-11-020,4/11/11 0:00,12000,pfi7069nh_11_020.pdf,Brooklyn Gardens Nursing & Rehabilitation Center
1368,3/8/10 0:00,Quality of Care,NH-11-029,5/24/11 0:00,22000,pfi1368nh_11_029.pdf,Brooklyn United Methodist Church Home
949,7/29/11 0:00,Multiple Deficiencies,NH-12-034,7/16/12 0:00,4000,pfi0949nh_12_034.pdf,Brookside Multicare Nursing Center
949,7/19/13 0:00,Multiple Deficiencies,NH-15-024,9/1/15 0:00,10000,pfi0949nh_15_024.pdf,Brookside Multicare Nursing Center
949,5/23/08 0:00,Quality of Care,NH-09-014,4/21/09 0:00,2000,pfi0949nh_09_014.pdf,Brookside Multicare Nursing Center
949,3/7/14 0:00,Multiple Deficiencies,NH-16-024,1/5/16 0:00,10000,pfi0949nh_16_024.pdf,Brookside Multicare Nursing Center
6248,,Multiple Deficiencies,NH-09-022,5/18/09 0:00,3000,pfi6248nh_09_022.pdf,Buena Vida Continuing Care & Rehab Center
3012,9/10/01 0:00,Resident Rights,NH-06-050,12/8/06 0:00,2000,pfi3012nh_06_050.pdf,Buffalo Center for Rehabilitation and Nursing
3012,,Quality of Care,NH-07-005,1/13/07 0:00,8500,pfi3012nh_07_005.pdf,Buffalo Center for Rehabilitation and Nursing
3012,4/19/06 0:00,Quality of Care,NH-07-051,6/14/07 0:00,3000,pfi3012nh_07_051.pdf,Buffalo Center for Rehabilitation and Nursing
3012,2/28/08 0:00,Quality of Care,NH-08-064,9/28/08 0:00,2000,pfi3012nh_08_064.pdf,Buffalo Center for Rehabilitation and Nursing
3012,10/27/08 0:00,Quality of Care,NH-11-004,3/1/11 0:00,2000,pfi3012nh_11_004.pdf,Buffalo Center for Rehabilitation and Nursing
3012,,Physical Environment,NH-17-039,7/11/17 0:00,4000,pfi3012nh_17_039.pdf,Buffalo Center for Rehabilitation and Nursing
4037,3/9/07 0:00,Quality of Care,NH-07-073,9/11/07 0:00,1000,pfi4037nh_07_073.pdf,Bushwick Center for Rehabilitation and Health Care
4037,6/4/07 0:00,Quality of Care,NH-08-005,1/8/08 0:00,3000,pfi4037nh_08_005.pdf,Bushwick Center for Rehabilitation and Health Care
4037,5/8/08 0:00,Quality of Care,NH-09-021,4/21/09 0:00,2000,pfi4037nh_09_021.pdf,Bushwick Center for Rehabilitation and Health Care
2544,1/5/15 0:00,Quality of Care,NH-16-094,1/13/16 0:00,2000,pfi2544nh_16_094.pdf,Campbell Hall Rehabilitation Center Inc
2544,12/22/11 0:00,Multiple Deficiencies,NH-16-182,7/12/16 0:00,4000,pfi2544nh_16_182.pdf,Campbell Hall Rehabilitation Center Inc
2544,5/23/13 0:00,Multiple Deficiencies,NH-16-204,10/24/16 0:00,12000,pfi2544nh_16_204.pdf,Campbell Hall Rehabilitation Center Inc
2544,7/16/03 0:00,Quality of Care,NH-04-023,4/9/04 0:00,2000,pfi2544nh_04_023.pdf,Campbell Hall Rehabilitation Center Inc
488,6/8/06 0:00,Quality of Care,NH-07-001,12/27/06 0:00,2000,pfi0488nh_07_001.pdf,Capstone Center for Rehabilitation and Nursing
488,8/10/07 0:00,Quality of Care,NH-08-008,1/3/08 0:00,7000,pfi0488nh_08_008.pdf,Capstone Center for Rehabilitation and Nursing
488,10/19/07 0:00,Multiple Deficiencies,NH-08-059,9/29/08 0:00,6000,pfi0488nh_08_059.pdf,Capstone Center for Rehabilitation and Nursing
488,,Multiple Deficiencies,NH-10-025,8/5/10 0:00,12000,pfi0488nh_10_025.pdf,Capstone Center for Rehabilitation and Nursing
488,7/6/10 0:00,Quality of Care,NH-11-034,5/24/11 0:00,10000,pfi0488nh_11_034.pdf,Capstone Center for Rehabilitation and Nursing
840,6/11/01 0:00,Quality of Care,NH-04-048,7/1/04 0:00,4000,pfi0840nh_04_048.pdf,Catskill Regional Medical Center
984,11/18/14 0:00,Multiple Deficiencies,NH-16-119,3/9/16 0:00,10000,pfi0984nh_16_119.pdf,Cayuga Ridge Extened Care
984,,Multiple Deficiencies,NH-16-169,6/6/16 0:00,16000,pfi0984nh_16_169.pdf,Cayuga Ridge Extened Care
984,8/17/16 0:00,Multiple Deficiencies,NH-17-021,3/20/17 0:00,10000,pfi0984nh_17_021.pdf,Cayuga Ridge Extened Care
984,,Quality of Care,NH-03-044,10/8/03 0:00,4500,pfi0984nh_03_044.pdf,Cayuga Ridge Extened Care
1087,8/4/99 0:00,Quality of Care,NH-07-033,4/16/07 0:00,500,pfi1087nh_07_033.pdf,Cedar Manor Nursing & Rehabilitation Center
1408,1/29/10 0:00,Multiple Deficiencies,NH-11-046,8/22/11 0:00,24000,pfi1408nh_11_046.pdf,Center for Nursing & Rehabilitation Inc
560,11/20/07 0:00,Quality of Care,NH-08-045,7/8/08 0:00,2000,pfi0560nh_08_045.pdf,Central Island Healthcare
654,3/16/06 0:00,Quality of Care,NH-07-007,1/30/07 0:00,1000,pfi0654nh_07_007.pdf,Central Park Rehabilitation and Nursing Center
654,3/2/15 0:00,Quality of Care,NH-16-142,3/9/16 0:00,12000,pfi0654nh_16_142.pdf,Central Park Rehabilitation and Nursing Center
654,5/26/09 0:00,Quality of Care,NH-10-064,12/6/10 0:00,2000,pfi0654nh_10_064.pdf,Central Park Rehabilitation and Nursing Center
654,9/11/01 0:00,Multiple Deficiencies,NH-03-042,10/8/03 0:00,3000,pfi0654nh_03_042.pdf,Central Park Rehabilitation and Nursing Center
136,8/7/15 0:00,Multiple Deficiencies,NH-16-138,4/6/16 0:00,14000,pfi0136nh_16_138.pdf,Champlain Valley Physicians Hospital Medical Center SNF
136,8/20/08 0:00,Multiple Deficiencies,NH-10-022,6/21/10 0:00,6000,pfi0136nh_10_022.pdf,Champlain Valley Physicians Hospital Medical Center SNF
136,2/3/11 0:00,Multiple Deficiencies,NH-12-020,3/12/12 0:00,22000,pfi0136nh_12_020.pdf,Champlain Valley Physicians Hospital Medical Center SNF
136,10/31/03 0:00,Quality of Care,NH-05-029,6/16/05 0:00,2000,pfi0136nh_05_029.pdf,Champlain Valley Physicians Hospital Medical Center SNF
136,1/28/05 0:00,Resident Rights,NH-05-041,8/17/05 0:00,2000,pfi0136nh_05_041.pdf,Champlain Valley Physicians Hospital Medical Center SNF
620,7/10/12 0:00,Multiple Deficiencies,NH-16-053,1/21/16 0:00,12000,pfi0620nh_16_053.pdf,Charles T Sitrin Health Care Center Inc
620,8/24/10 0:00,Multiple Deficiencies,NH-11-063,11/23/11 0:00,6000,pfi0620nh_11_063.pdf,Charles T Sitrin Health Care Center Inc
126,7/29/09 0:00,Quality of Care,NH-10-028,9/1/10 0:00,2000,pfi0126nh_10_028.pdf,ChaseHealth Rehab and Residential Care
99,11/3/14 0:00,Quality of Care,NH-16-141,3/14/16 0:00,10000,pfi0099nh_16_141.pdf,Chautauqua Nursing and Rehabilitation Center
99,1/6/09 0:00,Quality of Care,NH-11-015,3/11/11 0:00,10000,pfi0099nh_11_015.pdf,Chautauqua Nursing and Rehabilitation Center
123,10/4/13 0:00,Multiple Deficiencies,NH-16-042,1/5/16 0:00,4000,pfi0123nh_16_042.pdf,Chemung County Health Center-Nursing Facility
